Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Indonesia,IDN,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,46.4184115,44.9745977,46.3417399,48.1635493,57.5456059,50.1223884,53.7163997,54.3846673,56.2687851,57.4126224,55.4967156,54.2003128,55.8672272,56.6528103
"Iran, Islamic Rep.",IRN,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,39.0124079,40.9003892,40.9877064,40.2826079,46.3342811,47.6110494,47.3901809,47.5024565,46.0373048,43.2270684,37.5907798,38.5725219,37.5806922,36.947486
Iraq,IRQ,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,28.4161034,28.306791,29.624732,30.515692,32.6557553,30.3543883,30.1091758,30.1111727,30.4485245,29.8230474,27.6607343,27.4041568,27.5438368,25.2876422
Ireland,IRL,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,71.4472344,75.5249817,78.0174096,77.3952281,79.8861704,78.8130589,78.873907,78.1121019,79.6806257,76.6868572,80.5133684,82.8094272,84.5079207,83.6350611
Israel,ISR,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,76.678016,77.4570971,76.6177279,76.5869577,76.6398455,79.7939299,81.0271611,81.3967141,78.5109493,81.8544555,74.0068471,82.2501258,80.9687007,77.7243629
Italy,ITA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,57.8767278,56.6892562,59.2562888,60.4696676,58.3178271,58.5385497,59.7770308,58.8834672,59.8004841,60.2576967,61.9905283,62.5163957,65.2987922,67.9329688
Jamaica,JAM,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,54.8124747,54.564122,54.3319818,55.2927692,60.131785,59.7844428,60.577018,60.2784843,61.0608922,61.0939956,58.8600916,57.9444571,56.2887658,54.5486815
Japan,JPN,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,77.2459058,77.2299151,76.899252,79.5585854,85.8180198,84.5129644,86.6068501,84.6386214,86.8238668,87.0499696,86.4392038,83.4821825,90.8264358,90.0027288
Jersey,JEY,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,..,75.8782524,75.8863683,75.8954331,76.2620365,76.1944355,76.2179336,76.2255653,76.2674575,76.3082899,76.1916725,76.2608776,76.2504576,76.2871309
Jordan,JOR,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,52.8175571,53.9652559,55.6249975,56.0296684,58.7454147,58.7699258,58.3898205,56.7296726,53.0879709,51.5567544,53.554851,53.7294447,54.118084,58.9409204
Kazakhstan,KAZ,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,35.9134978,36.7616051,39.2857733,39.8770465,51.2114091,51.1184861,49.2500947,51.5791733,49.3256814,52.4896065,52.3568797,51.6869126,54.4581171,54.2964071
Kenya,KEN,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,41.5896233,41.0169483,42.2287774,43.199384,43.2603488,44.1934926,45.1848965,45.4430061,44.6331802,45.6736783,44.030085,44.5971582,44.8757346,45.2523381
Kiribati,KIR,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,38.3573719,39.0536584,38.0226781,38.0270122,43.3302617,43.2979438,43.3091785,43.3128262,43.3328536,46.0218663,46.3405363,46.3805287,46.3745069,43.4079036
"Korea, Dem. People's Rep.",PRK,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,23.2825962,23.1444795,16.2472345,16.2498284,22.9426739,22.9233388,22.9300606,22.9322422,22.5258797,26.9744984,26.9411442,22.5239975,25.3819029,26.6321106
"Korea, Rep.",KOR,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,76.0784285,77.0671142,77.2653285,75.1378455,74.408685,74.6415719,74.4078722,74.3374479,78.2996628,82.9882538,82.2854536,82.9600367,80.2050057,80.420774
Kosovo,XKX,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,37.4951755,39.2356777,41.6120598,40.6814728,45.6998655,44.7340616,44.5699599,44.6529198,44.9839775,44.9902521,44.1150398,48.2693811,50.8782494,51.5204679
Kuwait,KWT,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,53.848201,51.9908868,51.8888854,51.6614604,54.0802401,55.9637415,51.2857028,51.1983719,53.8322783,49.1573876,49.1596372,51.9172115,57.8274003,57.3510373
Kyrgyz Republic,KGZ,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,36.3737824,34.4286377,33.9830877,34.5690935,34.6294555,33.9397431,33.9067407,37.4590582,40.8044874,38.3049139,39.9413965,34.9636982,31.9268067,31.8166933
Lao PDR,LAO,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,34.6136495,34.9637488,35.0534401,37.6172139,45.970466,44.4577174,46.2407632,46.802184,38.7184124,36.6184038,36.4473703,36.8903673,37.5273689,36.6901055
