region,slope,trend_p,gap_2023,gap_2030,status
Sub-Saharan Africa,0.009953080915438879,0.08564453444860454,-0.1936356175143743,-0.12396405110630226,closing
South Asia,-0.04094637750243966,0.03356334065014659,-0.4442278382915248,-0.7308524808086077,widening
Latin America & Caribbean,-0.027597300328432533,0.07786844420281087,-0.1139875991499224,-0.30716870144895125,widening
Middle East & North Africa,0.053895508009248666,0.025965338806002335,0.5273776217380544,0.9046461778028032,widening
Europe & Central Asia,-0.00023738560537235194,0.9856304001760953,0.22111698430264465,0.2194552850650382,closing
East Asia & Pacific,0.005006885108374174,0.7194595117320943,0.28481887289422403,0.31986706865284376,widening
